Penalty,J,Coupling,Lambda,AngMomentum0,AngMomentum1,AngMomentum2,AngMomentum3,AngMomentum4,AngMomentum5,AngMomentum6,AngMomentum7,AngMomentum8,AngMomentum9
100,0.0,0.0,3,0.0,0.0,-1.167012647515159e-16,-1.169118846435709e-17,-3.3190609983154296e-16,-1.0699529701351118e-16,-6.920885567469701e-17,0.0,0.0,0.0
100,0.0,0.0,4,0.0,0.0,-2.9249856259687274e-16,-1.3346778024567323e-16,-1.8011289706760042e-16,-3.9256895505044073e-16,-4.0834932464918916e-16,0.0,0.0,0.0
100,0.0,0.0,5,0.0,0.0,-1.9727407828356112e-16,-1.2687111671247257e-16,-1.1443700375861115e-16,-2.1778627539885105e-16,-1.3435226309269594e-16,-5.255593140594729e-19,-2.920448751751585e-16,-1.0794026616080321e-16
100,0.0,0.0,6,0.0,0.0,-2.241877195244595e-16,-1.1693741791187459e-16,-8.654224350384201e-17,-2.8200962160225725e-16,-1.973236356909364e-16,-1.5097980143759184e-16,-2.9722913657186107e-16,-4.3713964299169316e-16
100,0.0,0.2,3,-1.5235737208517813e-07,-1.1019551325241176e-06,-5.3515318722197836e-05,-7.552595355750612e-06,-7.20735612102052e-07,-4.831800497939613e-06,-2.3287051089240546e-06,-1.4955848078422195e-07,-1.495584807838469e-07,-1.4955848078463678e-07
100,0.0,0.2,4,-6.545087703560473e-10,-2.782009922802814e-08,1.0961468676920868e-09,-1.57871769341537e-06,-6.344031622508003e-06,-2.9267594223445447e-06,-3.2772875645282277e-06,-9.646547835834291e-07,-9.646547835824694e-07,-9.64654783583124e-07
100,0.0,0.2,5,-2.9477151791089803e-09,-1.0869595600429109e-07,-2.5818719157927467e-06,-3.3362478595932515e-07,-2.759276405710518e-06,-2.47334301840501e-05,-1.37496052206428e-06,-1.1760998210796992e-06,-1.1755743139379789e-05,-9.984454681722406e-06
100,0.0,0.2,6,-4.748345743446627e-12,-2.418003149036909e-10,5.015935482002599e-08,-4.981837039910607e-10,-3.6329740769377627e-08,-2.0962746707513047e-07,-2.8158946221061448e-08,-1.2082943351171532e-06,1.425328025046152e-06,-2.668798934450845e-06
100,0.0,0.2,7,-7.410998465055818e-11,-1.9619181613789327e-09,-1.571876966602631e-07,-1.619228462910215e-08,-1.528279966932835e-07,-2.4269097051847425e-06,-2.822886784799342e-07,-1.463367704967907e-07,-2.0981037495473317e-06,-1.963475941106343e-05
100,0.0,0.2,8,9.221034983611283e-14,5.365756766269224e-12,5.1670153392448454e-09,8.358046170887973e-11,-1.9125085997565914e-09,2.4815866479685947e-07,1.97082265928616e-08,1.9476468245918474e-09,-3.508853284193351e-08,7.548233576343407e-07
100,0.0,0.5,3,-1.7426385657530755e-06,-4.891827383536167e-06,-0.00011485868747227812,-2.7814033963330597e-05,-2.285676631571107e-06,-1.1007764268161615e-05,-1.3143276644676765e-05,-1.8019785530194334e-06,-1.801978553013839e-06,-5.583280147979528e-05
100,0.0,0.5,4,-2.3230933045559146e-08,-1.0791300735306868e-06,8.604090074254163e-08,-2.1125642569267433e-05,-2.9398487108105163e-05,-1.0750806092548946e-05,-5.5432912171803136e-06,-5.543291217178261e-06,-5.543291217181658e-06,-2.235296420318946e-05
100,0.0,0.5,5,-1.0086626659147892e-07,-1.8990618172473334e-06,-1.0593684110472317e-05,-3.2758737437856713e-06,-1.2748460596336727e-05,-6.510876067793275e-05,-8.003754213980879e-06,-8.577930911478636e-06,-3.6909945763437206e-05,-5.276135719501538e-05
100,0.0,0.5,6,-1.6628217464464565e-10,-7.018791865386126e-08,-4.050443822155083e-07,5.180921150183777e-08,-7.9327772042527e-07,-1.1957652036632293e-06,-1.5135242912437886e-07,-2.743301175771196e-05,-3.8973310653288836e-07,-1.3552849775006658e-05
100,0.0,0.5,7,-7.32821716370546e-09,-1.1235021800420087e-07,-1.4742303722819703e-06,-3.737078610558978e-07,-2.256655290993587e-06,-6.134109605352955e-06,-2.228301225881778e-06,-2.656612684017973e-06,-1.5527402912765914e-05,-4.520453783123091e-05
100,0.0,0.5,8,5.736111132250413e-11,-6.200352557014002e-09,8.789099414937524e-09,1.1787586995797588e-08,-3.9865122977169566e-08,7.495366171007411e-07,5.804670266202255e-07,8.223310363123419e-08,-1.6162753407022583e-06,7.176236504604427e-06
100,0.0,1.0,3,-9.085384868751591e-06,-1.8564119629612782e-05,-0.00017527753103586114,-8.506948851837866e-05,-5.994352167511722e-06,-1.535598481057397e-05,-1.0996237471567609e-05,-1.0996237471559692e-05,-1.0996237471568076e-05,-5.86045014909509e-05
100,0.0,1.0,4,-1.8286560070324338e-07,-9.524747288919171e-06,1.8436043141737045e-07,-0.0002050888059651853,-1.8670562393105846e-06,-1.251469404873817e-05,-1.3505622983102499e-05,-1.350562298311188e-05,-1.3505622983111955e-05,-1.8583835798799126e-05
100,0.0,1.0,5,-9.118097891791071e-07,-1.3106020049238102e-05,-2.863913837912072e-05,-1.0945334456712933e-05,-3.58747709445181e-05,-0.00012193012391741015,-1.578119609705907e-05,-2.6898043227609743e-05,-6.477060123601081e-05,-8.323351656001076e-05
100,0.0,1.0,6,3.311616519356431e-09,-8.794738207469655e-07,-6.967266228145739e-06,5.425535424771182e-07,-7.367859740395981e-06,7.02317604970168e-07,-3.925897502400577e-07,-0.0001858308637669872,-1.1413927718018003e-05,-2.259469717163281e-05
100,0.0,1.0,7,-1.1970125905461272e-07,-1.5082838952554155e-06,-7.140551581717115e-06,-1.1246489559068456e-06,-1.192927500998103e-05,-1.4482088899898962e-05,-9.015032011320956e-06,-1.5118052226212343e-05,-7.054756622321556e-05,-5.274471145573588e-05
100,0.0,1.0,8,2.7320520012647034e-09,-1.5894452748901798e-07,-6.868831093495659e-07,4.171508776370075e-08,-3.7209808673268646e-07,-1.9192593674969492e-06,6.512210862727512e-06,1.0181481765207356e-06,-1.8460699709051776e-05,2.7474228689891153e-05
30,0.0,0.2,3,-9.586090727786171e-07,-9.965791958034808e-06,-0.00039162919460321587,-5.0584017724810574e-05,-5.710664032244577e-06,-4.113540648870229e-05,-1.997134502192506e-05,-1.1101054134246013e-06,-1.110105413424026e-06,-1.1101054134246587e-06
40,0.0,0.2,4,-1.6870901011080738e-09,-5.7317389723016006e-08,1.0672292154003242e-08,-4.314001546639656e-06,-1.5784684116581506e-05,-9.018115242387362e-06,-1.0380719035328776e-05,-2.8580940579808694e-06,-2.858094057981234e-06,-2.8580940579822564e-06
50,0.0,0.2,5,-6.767051881311069e-09,-2.3898804545491186e-07,-7.017876999005153e-06,-8.425562753722685e-07,-7.505931949626939e-06,-6.610338747222499e-05,-3.6545543011494186e-06,-2.971679535652478e-06,-2.498576583898976e-05,-2.267129415953774e-05
60,0.0,0.2,6,-6.33971911109928e-12,-1.0950074632348914e-11,1.1835970422512268e-07,-2.341564505482948e-10,-6.959269556397113e-08,-3.4621831984506516e-07,-6.069168170827368e-08,-1.8476841304404581e-06,3.61663674035097e-06,-5.304303750273477e-06
70,0.0,0.2,7,-1.0976734064878212e-10,-2.9601556391897864e-09,-2.5677457499297123e-07,-2.5069072468933283e-08,-2.1950784228035064e-07,-4.425710185749557e-06,-4.951101310136633e-07,-2.1822034777938373e-07,-3.3577287265693606e-06,-3.236061504845819e-05
80,0.0,0.2,8,1.3856041958218573e-13,9.085480106224697e-12,6.862527385401221e-09,1.1370084083487883e-10,-2.4703936807762247e-09,3.267152886820632e-07,2.6183991566068957e-08,2.2696280508874973e-09,-4.298603103568396e-08,9.9309494903231e-07
30,0.0,1.0,3,-5.5164862159078216e-05,-0.000128105344332548,-0.0012949540553223945,-0.0005511888272715496,-5.057244976560911e-05,-0.00012830564903082496,-8.121055787507985e-05,-8.121055787507914e-05,-8.121055787506489e-05,-0.00034267495280554264
40,0.0,1.0,4,-4.2611182194880876e-07,-2.3390247697024822e-05,1.4716028370514046e-06,-0.0005202461887648466,1.1895106208279374e-06,-6.501093206629936e-05,-4.660174915254612e-05,-4.660174915254881e-05,-4.660174915256062e-05,0.49969342369464204
50,0.0,1.0,5,-2.137712804628803e-06,-2.2493141847608278e-05,-5.313056413328094e-05,-2.9938017661892545e-05,-9.771366890033535e-05,-0.0002876079055857142,-4.5658132957922696e-05,-6.420317927441028e-05,-0.0001302264251052268,-0.00019322391389732272
60,0.0,1.0,6,9.668570532874317e-09,-1.3733244659906005e-06,-9.294244815690914e-06,1.3162127944943077e-06,-1.3741896425252715e-05,4.553913679354605e-06,-1.1600493450288077e-06,-0.0002815398483504816,-5.712406850132366e-06,-4.3960275907121605e-05
70,0.0,1.0,7,-1.779879365082286e-07,-2.0042750353411694e-06,-9.541013119154311e-06,-1.766636270126156e-06,-1.6760813549688116e-05,-2.176969569986722e-05,-1.5025185771251481e-05,-2.0950651043558698e-05,-0.00010881439127510996,-8.272820722032224e-05
80,0.0,1.0,8,3.498412469760539e-09,-1.95831662891898e-07,-7.756283753566788e-07,5.808137339088245e-08,-4.0423605795352073e-07,-1.8263984235095836e-06,8.382499134261877e-06,1.3147758261167742e-06,-2.2759931224979476e-05,3.663582003323996e-05
3,0.0,0.2,3,-7.662067289312096e-06,-0.0004028312619439566,0.49984654936774914,-0.004285696406530359,-0.0006083785892472286,-0.00016641982724746715,-0.49996609146466253,0.4998308830069669,-0.0011514335606303638,-0.0003849326981087432
4,0.0,0.2,4,-1.2890197040623505e-08,8.097157506396406e-08,0.4999772006235836,1.9515087447444744e-07,-3.8896358030376615e-05,-0.4999976509499822,0.49844797519274636,0.4991267401633165,-0.00011425247674757035,-0.00013078805072507668
5,0.0,0.2,5,-6.067734043719764e-08,-2.9221548761723123e-06,0.4999989873530395,-0.00019443407240592316,-9.938838982241897e-06,-0.00011805471806660381,-0.49999755046712674,0.49994888245208313,0.49999272617589563,-0.0010874362951742674
6,0.0,0.2,6,-4.039450387977686e-11,7.942491170834365e-09,1.5883267482540033e-06,0.4999996477204091,-5.0096872664426675e-09,-8.589702207444229e-07,-0.49999987837312476,0.49998696100859635,-3.180328586758692e-06,0.4999847629238078
7,0.0,0.2,7,-9.283916632673491e-10,-3.200214018604075e-08,-3.96466995758942e-06,0.4999999858878896,-2.7711991586841983e-07,-1.6528582213482483e-06,-0.499999888112717,-0.00013544779497770472,0.49999884984007653,-1.1880911955940891e-05
8,0.0,0.2,8,1.5481664775735647e-12,1.3966689864907573e-10,5.704185363502882e-08,3.852528049818883e-10,-2.478526433383731e-08,0.49999999134886525,-0.49999999580270116,2.639969049173262e-06,0.49999973347664,1.9256334575388022e-07
3,0.0,0.5,3,-8.344134784900424e-05,-0.0008695032531240114,0.49916472978007065,-0.009455786588097913,-0.001660975150318306,-0.0006963596534302643,-0.4998071615996822,0.4989504587589105,-0.002345254888908434,-0.0017228225790336482
4,0.0,0.5,4,-4.0117791507743115e-07,-1.2665192217931162e-05,0.4997439586182042,6.1431393196775125e-06,-0.49996265994312716,0.49616201741560756,-0.0004896065617190315,0.49700394755970845,-0.0004486937095970915,-0.0006145630954659075
5,0.0,0.5,5,-2.0504028486740596e-06,-2.1520324136379413e-05,0.49998382494893767,-0.0003906666272301231,-0.00010703546061474641,-0.0004454495610613187,-0.49996845373333354,0.4997752938913974,-0.0024196379522459185,0.4999118463476047
6,0.0,0.5,6,7.486633595312608e-10,-5.200364602173953e-07,4.745102144551737e-06,0.4999865315590799,1.1765896530321336e-06,-1.8297497512304802e-05,-0.4999955847896059,0.49988486168700064,0.49985037105880387,-1.3677055684303024e-05
7,0.0,0.5,7,-9.010183280294267e-08,-8.535670528925126e-07,-2.3242621524351844e-05,0.4999994757249502,-6.8582367087876996e-06,-2.613816519548761e-05,-0.49999628565964915,-0.00023027732890424434,0.4999874488913685,-7.138007985568464e-05
8,0.0,0.5,8,4.992231027291157e-10,-4.243292204221269e-08,3.1322343138672454e-07,0.4999990241423503,1.8522459230925503e-08,-7.463615575724809e-07,9.98958593980087e-06,-0.4999996636101999,0.4999917942135641,4.016100253677527e-06
3,0.0,1.0,3,-0.0004122259517561763,-0.0016810903003128212,0.4972376241128938,-0.015195269069928899,-0.004600618988362073,-0.002002971680021996,-0.49934102213494347,0.4956718079775195,-0.0031368686019928862,-0.5001562627204095
4,0.0,1.0,4,-2.5192366608149985e-06,-0.00012227144782074934,0.49874032576068533,3.577273892096455e-05,0.49206296991735105,-0.49979245081387513,-0.00413520170814847,0.49206866741526584,0.00028121148743451453,-0.001276826581818941
