Penalty,J,Coupling,Lambda,GaugeViolation0,GaugeViolation1,GaugeViolation2,GaugeViolation3,GaugeViolation4,GaugeViolation5,GaugeViolation6,GaugeViolation7,GaugeViolation8,GaugeViolation9
100,0.0,0.0,3,0.0,2.1200636827814692e-30,3.1209170460259835e-16,3.2485995326546536e-17,-1.4162668723965512e-16,-3.254183436308325e-16,-3.88465034675275e-16,0.8283706346152517,0.8909692205165252,1.419335191894013
100,0.0,0.0,4,0.0,4.6542793408039697e-29,4.5732148972086495e-17,-1.2399861890156078e-17,-6.693251873799313e-16,-6.709542810180854e-16,-9.905150127663355e-16,2.0,1.9999999999999998,1.9999999999999998
100,0.0,0.0,5,0.0,4.2427553192926967e-17,-1.2666355167353816e-17,-1.857459859590989e-16,-7.553646542029827e-17,-1.0392048261492149e-17,-5.511409474580055e-16,-2.548521702490157e-16,-4.786089450828407e-16,-9.509710358932171e-16
100,0.0,0.0,6,0.0,2.4961414530827794e-17,9.83927916692418e-17,-6.99155841509965e-17,-1.1785785882843535e-17,-8.000905941466898e-16,-6.943678433889629e-16,-6.582921091372874e-16,-8.38410014655266e-16,1.8682788428709014e-18
3,0.0,0.2,3,2.467899524896531e-05,0.0020415337732289,0.00026972617089707565,0.008411399559887421,0.002833203726181225,0.000758468704954181,0.0009323427665554323,0.0012486762348563338,0.0043852186614503795,0.0034705507999698315
4,0.0,0.2,4,2.4936158173646865e-06,7.363070471335447e-05,4.049041147816171e-05,2.8552741732702877e-05,0.002507385373513172,5.54795127629378e-05,0.0018031459767297974,0.0012484344181695848,0.001458228991895117,0.0008935142531724422
5,0.0,0.2,5,3.6271161300069756e-07,1.797396006611656e-05,3.544940625481555e-06,0.0013218222645007113,5.297506821329703e-05,0.000745988299944289,4.4619265474172004e-05,0.00020433092746409138,9.732254248827074e-05,0.005083568154952463
6,0.0,0.2,6,7.31683862965341e-08,1.7376723615796173e-06,0.00019066373498506788,1.1633659464167553e-06,8.076410397323005e-06,0.000115895080939546,2.6009785830160323e-06,3.6330766467944675e-05,7.33510057446735e-05,5.153895684084613e-05
7,0.0,0.2,7,7.94564333944027e-09,2.634819539060261e-07,3.5975458209560627e-05,7.750068461724445e-08,2.201204827949657e-06,1.641646221649338e-05,1.8722242892685837e-06,0.0011836200123537383,6.376228502856747e-06,9.605191108369527e-05
8,0.0,0.2,8,2.355358813278542e-09,4.343477949393253e-08,1.1030154645398534e-05,5.932280349689882e-07,8.30331850239947e-06,3.909902014008696e-08,9.430079537321377e-08,0.00015507564590871753,1.0959322774127444e-06,5.851076929538039e-06
3,0.0,0.5,3,0.00025453765467190923,0.004292110794009841,0.0014205253292320988,0.01984990808400708,0.00566411002371506,0.0031649281982302764,0.00541946580293535,0.007402582919024456,0.008816735600436583,0.01446551246247552
4,0.0,0.5,4,5.3029493644546684e-05,0.0004963707745958776,0.0005083665497104639,0.0003654460240864892,0.0008113139725877704,0.005714430126769611,0.01405576463653426,0.005308437629665818,0.005375638055687081,0.004769973994765053
5,0.0,0.5,5,1.3037099087211405e-05,0.00013536818274005111,7.625217481584152e-05,0.002910993869409589,0.0006010262928944233,0.003095897711583578,0.0005411494381502018,0.0009517416918987114,0.011676663428346288,0.0011825356414591152
6,0.0,0.5,6,4.707077003825537e-06,4.0839563198033545e-05,0.0008884629417116041,4.588843307606544e-05,9.308208532175373e-05,0.001564254450532051,9.158320610399228e-05,0.0003832908284920335,0.0006068264699890679,0.0009249911300481254
7,0.0,0.5,7,8.683938498375253e-07,9.058661206723426e-06,0.0002701701149131611,5.684328996142975e-06,6.298547845055312e-05,0.00035125625305071004,5.99716832654763e-05,0.0021839617020142634,8.828801629009372e-05,0.0006060623007280317
8,0.0,0.5,8,4.233638578074353e-07,4.86052427263405e-06,0.00015409431431421432,4.405474834384701e-06,2.4012873197261584e-05,0.00026322170661697447,0.0005780068355436696,7.758895125592202e-06,3.783237409269237e-05,0.0001128730393316001
